Mission_ID,Mission_Name,Destination,Agency,Launch_Year,Duration_Days,Crewed,Status
SM-001,Explorer-01,Titan,Orion Labs,2039,696,Yes,Planned
SM-002,Explorer-02,Moon,Astra Research,2038,626,Yes,Completed
SM-003,Explorer-03,Europa,Astra Research,2029,474,No,Planned
SM-004,Explorer-04,Europa,Astra Research,2040,90,Yes,Planned
SM-005,Explorer-05,Moon,Astra Research,2039,80,Yes,Planned
SM-006,Explorer-06,Moon,Orion Labs,2036,459,Yes,Completed
SM-007,Explorer-07,Mars,Nova Space,2032,135,Yes,Research
SM-008,Explorer-08,Mars,Astra Research,2028,663,Yes,Research
SM-009,Explorer-09,Moon,Helios Institute,2037,506,No,Research
SM-010,Explorer-10,Titan,Orion Labs,2032,279,Yes,Completed
SM-011,Explorer-11,Titan,Helios Institute,2037,489,No,Completed
SM-012,Explorer-12,Mars,Astra Research,2040,198,No,Planned
SM-013,Explorer-13,Venus,Helios Institute,2028,714,Yes,Completed
SM-014,Explorer-14,Moon,Nova Space,2037,388,No,Completed
SM-015,Explorer-15,Venus,Astra Research,2029,306,No,Completed
SM-016,Explorer-16,Mars,Astra Research,2036,692,No,Research
SM-017,Explorer-17,Venus,Nova Space,2027,502,No,Planned
SM-018,Explorer-18,Moon,Astra Research,2042,90,Yes,Research
SM-019,Explorer-19,Europa,Orion Labs,2039,430,No,Planned
SM-020,Explorer-20,Europa,Helios Institute,2039,592,No,Planned
SM-021,Explorer-21,Venus,Nova Space,2040,397,No,Planned
SM-022,Explorer-22,Europa,Astra Research,2032,184,Yes,Completed
SM-023,Explorer-23,Europa,Astra Research,2042,633,Yes,Research
SM-024,Explorer-24,Titan,Astra Research,2031,459,No,Completed
SM-025,Explorer-25,Moon,Nova Space,2031,557,Yes,Research
SM-026,Explorer-26,Moon,Helios Institute,2039,438,No,Planned
SM-027,Explorer-27,Venus,Helios Institute,2028,225,Yes,Planned
SM-028,Explorer-28,Venus,Orion Labs,2030,378,Yes,Planned
SM-029,Explorer-29,Mars,Orion Labs,2030,402,Yes,Planned
SM-030,Explorer-30,Europa,Helios Institute,2031,679,No,Research
SM-031,Explorer-31,Moon,Nova Space,2042,155,Yes,Research
SM-032,Explorer-32,Venus,Helios Institute,2042,349,Yes,Planned
SM-033,Explorer-33,Mars,Nova Space,2035,520,Yes,Completed
SM-034,Explorer-34,Mars,Orion Labs,2038,180,Yes,Completed
SM-035,Explorer-35,Titan,Astra Research,2035,560,No,Planned
SM-036,Explorer-36,Titan,Orion Labs,2037,681,Yes,Completed
SM-037,Explorer-37,Europa,Orion Labs,2039,262,Yes,Completed
SM-038,Explorer-38,Venus,Nova Space,2027,58,No,Research
SM-039,Explorer-39,Titan,Orion Labs,2038,487,No,Research
SM-040,Explorer-40,Mars,Orion Labs,2030,262,No,Planned
SM-041,Explorer-41,Titan,Orion Labs,2042,669,Yes,Research
SM-042,Explorer-42,Titan,Astra Research,2030,427,Yes,Research
SM-043,Explorer-43,Europa,Helios Institute,2037,118,No,Research
SM-044,Explorer-44,Venus,Astra Research,2032,204,Yes,Planned
SM-045,Explorer-45,Europa,Helios Institute,2031,656,No,Completed
SM-046,Explorer-46,Titan,Orion Labs,2031,51,Yes,Completed
SM-047,Explorer-47,Mars,Orion Labs,2040,229,Yes,Planned
SM-048,Explorer-48,Titan,Orion Labs,2036,543,Yes,Completed
SM-049,Explorer-49,Titan,Nova Space,2040,164,Yes,Completed
SM-050,Explorer-50,Titan,Helios Institute,2040,543,Yes,Completed
SM-051,Explorer-51,Europa,Astra Research,2041,217,Yes,Planned
SM-052,Explorer-52,Europa,Orion Labs,2042,663,Yes,Completed
SM-053,Explorer-53,Mars,Nova Space,2042,138,Yes,Planned
SM-054,Explorer-54,Europa,Nova Space,2028,130,No,Completed
SM-055,Explorer-55,Mars,Astra Research,2041,363,Yes,Completed
SM-056,Explorer-56,Titan,Helios Institute,2042,549,Yes,Completed
SM-057,Explorer-57,Moon,Nova Space,2033,488,Yes,Research
SM-058,Explorer-58,Mars,Helios Institute,2041,353,Yes,Completed
SM-059,Explorer-59,Europa,Helios Institute,2029,247,No,Planned
SM-060,Explorer-60,Europa,Nova Space,2031,289,Yes,Research
